"List Position, Division and Permission GSA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
No,Position,,,Division,,,Menu ,Permission,,,,,,,
,,,,,,,,,,,,,,,
,Name,Description,Status,Name,Description,Status,,Create,Read,Update,Delete,Approve,Reject,Import,Export
1,Admin,Admin,Active,Admin,Admin,Active,Master > Airlines,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Airport,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Customer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Routes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Weight Brackets,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Weight Brackets > Bracket Cost,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Weight Brackets > Bracket Selling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Cost,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Cost > Cost Type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Cost > List Cost,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Selling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Selling > Selling Type,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Selling > List Selling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Wilayah,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Wilayah > Country,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Approval Flow,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Master > Approval Flow > Sales Order Flow,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Shipping Instructions,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job > Job List,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job > Execute Job,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Sales Order,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Jobsheet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,Director,Director,Active,Director,Director,Active,Shipping Instructions,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job List,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Execute Job,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,General Manager,General Manager,Active,General Manager,General Manager,Active,Shipping Instructions,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job List,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Execute Job,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,Manager,Manager,Active,CS,CS,Active,Shippinginstruction,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job List,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Jobsheet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Invoice,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Key account,Key account,Active,Shippinginstruction,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Sales Order,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Sales,Sales,Active,Shippinginstruction,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Sales Order,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,OPS,OPS,Active,Shippinginstruction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,,,,,,Executed job,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Finance,Finance,Active,Shippinginstruction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Jobsheet,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Invoice,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,Staff,Staff,Active,CS,CS,Active,Shippinginstruction,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,,,,,,,Job,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Job List,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Jobsheet,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Key account,Key account,Active,Shippinginstruction,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Job,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
,,,,,,,Sales Order,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Sales,Sales,Active,Shippinginstruction,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Job,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Sales Order,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,OPS,OPS,Active,Shippinginstruction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
,,,,,,,Job List,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
,,,,,,,Executed job,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Finance,Finance,Active,Shippinginstruction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Jobsheet,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Invoice,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE